episode,timestep,reward
697,63200,-85.0
699,63400,-183.1641
701,63600,203.8793
703,63800,-90.0
705,64000,-185.611
708,64200,190.4518
710,64400,-52.3055
713,64600,378.0528
715,64800,-20.0
717,65000,-39.4731
720,65200,344.9575
722,65400,215.5488
724,65600,-44.8536
726,65800,2.0799
728,66000,51.4568
730,66200,-55.0
732,66400,-66.6988
735,66600,157.8541
737,66800,-240.0
739,67000,-92.3582
741,67200,568.681
744,67400,209.4867
746,67600,-75.0
748,67800,-119.1658
751,68000,376.3907
753,68200,-260.0
755,68400,294.9406
758,68600,2.598
761,68800,112.3814
763,69000,3.5469
765,69200,97.9939
768,69400,68.0016
770,69600,-185.0
772,69800,50.3641
774,70000,17.262
776,70200,-52.978
778,70400,-58.3149
780,70600,6.6434
782,70800,0.0
784,71000,-40.0
787,71200,49.5259
789,71400,149.195
791,71600,-101.8896
793,71800,-77.8557
795,72000,40.4411
797,72200,559.5139
800,72400,-21.4426
802,72600,0.0
804,72800,-109.3227
806,73000,0.0
808,73200,-58.7647
811,73400,133.9617
813,73600,-205.0
815,73800,-85.2542
817,74000,0.0
819,74200,79.6002
821,74400,-100.0
823,74600,-65.0
825,74800,-79.4246
828,75000,60.2093
830,75200,874.0977
833,75400,45.8163
835,75600,-23.5803
837,75800,-25.0
839,76000,0.0
841,76200,0.0
843,76400,672.7981
845,76600,17.5822
847,76800,-225.0
850,77000,-82.8048
852,77200,-145.0655
854,77400,-50.0
856,77600,659.0685
859,77800,21.771
862,78000,141.2908
864,78200,-120.0
866,78400,1046.1706
869,78600,960.9509
871,78800,0.0
873,79000,-65.0
875,79200,-55.0
877,79400,-320.0
879,79600,-20.0
881,79800,-175.0
883,80000,208.4145
885,80200,5.682
887,80400,-85.0
889,80600,-122.8756
891,80800,-110.0
893,81000,650.0555
895,81200,0.0
898,81400,-0.0794
900,81600,-115.0
902,81800,-68.5084
904,82000,0.0
906,82200,-130.0
908,82400,715.7445
910,82600,54.3799
912,82800,-185.5471
914,83000,-15.804
916,83200,-30.0
919,83400,224.0199
922,83600,311.275
924,83800,0.0
926,84000,0.0
928,84200,320.6174
930,84400,-297.5706
932,84600,-0.9573
935,84800,248.0332
937,85000,213.3602
940,85200,305.9342
942,85400,-43.8092
944,85600,-8.6848
946,85800,-20.0
948,86000,-170.0
950,86200,-325.0
952,86400,-71.9589
955,86600,-7.2025
957,86800,-60.0
959,87000,-10.8019
961,87200,0.0
963,87400,-35.0
965,87600,3.5681
967,87800,-60.0
969,88000,-150.5686
971,88200,-148.3826
973,88400,129.4963
975,88600,-45.0
978,88800,-21.6637
980,89000,-20.0
982,89200,-115.0
984,89400,0.0
987,89600,416.5047
989,89800,-234.6473
991,90000,-4.849
994,90200,70.9095
996,90400,89.2689
998,90600,-30.0
1000,90800,123.803
1002,91000,321.8561
1004,91200,-150.0
1007,91400,-11.4392
1009,91600,-79.2277
1011,91800,32.0061
1014,92000,349.5363
1016,92200,-9.9276
1018,92400,-202.9372
1020,92600,-185.0
1022,92800,-360.0
1024,93000,-220.0
1027,93200,-217.0051
1030,93400,644.406
1032,93600,-125.0
1034,93800,0.0
1036,94000,51.573
1038,94200,-122.1344
1041,94400,704.4843
1043,94600,390.8893
1045,94800,-265.0
1047,95000,461.0234
1049,95200,-336.3293
1051,95400,0.0
1053,95600,-145.0
1055,95800,141.0241
1057,96000,0.0
1060,96200,752.9848
1062,96400,0.0
1065,96600,-130.1972
1068,96800,-156.4231
1070,97000,-165.0
1072,97200,-35.0
1074,97400,-10.0
1078,97600,513.7584
1080,97800,-15.0
1083,98000,1315.2508
1086,98200,430.392
1088,98400,-174.4628
1090,98600,-209.79
1092,98800,237.433
1095,99000,28.2928
1097,99200,-80.0
1099,99400,215.7086
1101,99600,-25.0
1103,99800,0.0
1105,100000,-225.0
1108,100200,6.9192
1110,100400,73.0035
1112,100600,0.0
1115,100800,144.8812
1117,101000,375.2637
1120,101200,743.9012
1122,101400,96.892
1124,101600,77.7368
1126,101800,71.4933
1129,102000,-156.932
1131,102200,-179.381
1133,102400,9.328
1135,102600,-7.2228
1137,102800,0.0
1139,103000,0.0
1141,103200,0.0
1144,103400,618.6933
1146,103600,-291.7169
1148,103800,-275.0
1150,104000,-220.0
1152,104200,-160.0
1154,104400,110.4938
1156,104600,-75.0
1158,104800,418.0282
1161,105000,599.4604
1163,105200,-45.0
1165,105400,275.8241
1168,105600,120.5861
1170,105800,127.7335
1172,106000,-6.8002
1175,106200,49.2191
1177,106400,-67.8433
1179,106600,-92.3328
1181,106800,-190.0
1183,107000,-155.0
1185,107200,-138.0301
1187,107400,-202.8013
1189,107600,-216.1261
1191,107800,9.5469
1194,108000,160.2986
1197,108200,146.0282
1200,108400,573.7338
1202,108600,-53.4393
1204,108800,-240.0
1206,109000,248.077
1208,109200,-95.0
1210,109400,-14.6679
1213,109600,-164.2875
1215,109800,251.7475
1217,110000,0.0
1220,110200,42.7832
1222,110400,0.0
1224,110600,193.8537
1226,110800,795.3287
1228,111000,173.7021
1231,111200,275.0948
1234,111400,366.3157
1236,111600,-295.1547
1238,111800,128.4193
1241,112000,168.733
1244,112200,-205.9446
1246,112400,-62.4646
1249,112600,-108.7611
1251,112800,449.5313
1253,113000,0.0
1256,113200,-39.5737
1259,113400,-50.4343
1261,113600,-112.5148
1263,113800,-67.9882
1266,114000,-108.9256
1269,114200,-12.2512
1271,114400,1009.1701
1273,114600,174.4984
1276,114800,265.2339
1278,115000,-35.2847
1281,115200,144.3402
1283,115400,-52.5058
1285,115600,-81.462
1288,115800,10.7779
1290,116000,241.5901
1292,116200,-240.0
1295,116400,-261.7349
1298,116600,208.1778
1300,116800,23.072
1302,117000,63.0435
1304,117200,-168.3036
1307,117400,-32.4667
1310,117600,433.2971
1312,117800,-27.7954
1315,118000,-74.4385
1318,118200,333.3829
1320,118400,383.1684
1323,118600,67.4409
1325,118800,-195.0
1328,119000,-153.2885
1330,119200,-67.263
1333,119400,323.9429
1335,119600,0.0
1337,119800,-153.9228
1339,120000,-265.0
1342,120200,-71.1843
